model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.50,0.50,0.5014,0.50,0.48388,0.4688,0.0
Llama-2-7b-chat-hf,0.5,0.5,0.50147,0.5,0.48388,0.3957,0.0
Llama-2-13b-hf,0.9196,0.8443,0.2596,0.0,0.5635,0.8199,0.0
Llama-2-13b-chat-hf,0.9065,0.6935,0.3867,0.026,0.689,0.826,0.0
Meta-Llama-3.1-8B-hf,0.804,0.915,0.345,0.01,0.584,0.897,0.0
Meta-Llama-3.1-8B-Instruct-hf,0.989,0.9126,0.531,0.0,0.707,0.7426,0.0
Meta-Llama-3.1-70B-hf,0.961,0.950,0.301,0.604,0.709,0.866,0.389
Meta-Llama-3.1-70B-Instruct-hf,0.990923,0.988617,0.688211,0.767256,0.84359,0.938026,0.614638
