model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.00,0.00,0.0246,0.00,0.1122,0.0534,0.0
Llama-2-7b-chat-hf,0.0,0.0,0.038,0.0,0.17,0.0236,0.0
Llama-2-13b-hf,0.9324,0.2897,0.2097,0.0,0.464,0.825,0.0
Llama-2-13b-chat-hf,0.9488,0.7557,0.2858,0.005,0.5743,0.783,0.0
Meta-Llama-3.1-8B-hf,0.966,0.879,0.214,0.0,0.62,0.883,0.0
Meta-Llama-3.1-8B-Instruct-hf,0.989,0.827,0.3156,0.02,0.745,0.788,0.0
Meta-Llama-3.1-70B-hf,0.975,0.760,0.182,0.60,0.669,0.797,0.262
Meta-Llama-3.1-70B-Instruct-hf,0.989732,0.96083,0.471711,0.760435,0.814459,0.886932,0.504932
