model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.50,0.49,0.48486,0.50,0.49428,0.5425,0.0
Llama-2-7b-chat-hf,0.20498,0.51069,0.47115,0.4369,0.4519,0.5447,0.0
Llama-2-13b-hf,0.9043,0.6607,0.2123,0.0,0.4835,0.8474,0.0
Llama-2-13b-chat-hf,0.9443,0.7249,0.3814,0.0129,0.615,0.8123,0.0
Meta-Llama-3.1-8B-hf,0.958,0.829,0.3127,0.0,0.737,0.9008,0.0
Meta-Llama-3.1-8B-Instruct-hf,0.982,0.946,0.3382,0.0,0.741,0.847,0.0
Meta-Llama-3.1-70B-hf,0.965,0.878,0.247,0.665,0.716,0.819,0.356
Meta-Llama-3.1-70B-Instruct-hf,0.991518,0.949093,0.638264,0.811192,0.834426,0.90467,0.58556
