model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.00,0.00,0.0338,0.00,0.1404,0.24546,0.0
Llama-2-7b-chat-hf,0.0,0.00157,0.03396,0.0,0.1755,0.1092,0.0
Llama-2-13b-hf,0.9552,0.6740,0.14,0.0,0.5313,0.8648,0.0
Llama-2-13b-chat-hf,0.9780,0.7367,0.3021,0.0145,0.675,0.9224,0.0
Meta-Llama-3.1-8B-hf,0.941,0.8677,0.1987,0.01,0.594,0.914,0.0
Meta-Llama-3.1-8B-Instruct-hf,0.995,0.898,0.3852,0.0,0.736,0.870,0.0
Meta-Llama-3.1-70B-hf,0.971,0.841,0.225,0.639,0.712,0.887,0.320
Meta-Llama-3.1-70B-Instruct-hf,0.9922619047619048,0.9896336755411936,0.5531222222222223,0.7704936986934906,0.8628460306566003,0.943108084770434,0.5702703565386703
