model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.00,0.00,0.0338,0.0007,0.1404,0.2455,0.0
Llama-2-7b-chat-hf,0.0004,0.0016,0.0340,0.0002,0.1756,0.1093,0.0003
Llama-2-13b-hf,0.9549,0.6739,0.1400,0.0018,0.5313,0.8648,0.0004
Llama-2-13b-chat-hf,0.9780,0.7367,0.3021,0.0145,0.6754,0.9224,0.0027
Meta-Llama-3.1-8B-hf,0.9411,0.8677,0.1988,0.0108,0.5937,0.9139,0.0045
Meta-Llama-3.1-8B-Instruct-hf,0.9948,0.8983,0.3851,0.0061,0.7363,0.8703,0.0002
Meta-Llama-3.1-70B-hf,0.9713,0.8407,0.2250,0.6382,0.7124,0.8872,0.3202
Meta-Llama-3.1-70B-Instruct-hf,0.9922619047619048,0.9896336755411936,0.5531,0.7704936986934906,0.8628460306566003,0.943108084770434,0.5702384372306809
