model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.50,0.50,0.5014,0.50,0.4839,0.4688,0.0002
Llama-2-7b-chat-hf,0.50,0.50,0.5015,0.50,0.4839,0.3957,0.0011
Llama-2-13b-hf,0.9196,0.8443,0.2596,0.0032,0.5635,0.8199,0.017
Llama-2-13b-chat-hf,0.9065,0.6935,0.3867,0.0260,0.6893,0.8260,0.035
Meta-Llama-3.1-8B-hf,0.8043,0.9146,0.3449,0.0117,0.5838,0.8970,0.0092
Meta-Llama-3.1-8B-Instruct-hf,0.9885,0.9126,0.5309,0.0092,0.7072,0.7426,0.0019
Meta-Llama-3.1-70B-hf,0.9607,0.9503,0.3009,0.6037,0.7093,0.8660,0.3892
Meta-Llama-3.1-70B-Instruct-hf,0.990922619047619,0.9886167033658383,0.6882111111111111,0.7672563302115851,0.8435903302066652,0.9380258061332742,0.6146381946439401
