model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.50,0.5282,0.4922,0.50,0.4140,0.5338,0.0
Llama-2-7b-chat-hf,0.5,0.5020,0.4916,0.4892,0.4846,0.5350,0.0012
Llama-2-13b-hf,0.9305,0.5296,0.1620,0.0044,0.5222,0.8460,0.0011
Llama-2-13b-chat-hf,0.9555,0.7433,0.2977,0.0157,0.6355,0.8876,0.0025
Meta-Llama-3.1-8B-hf,0.9613,0.8912,0.3060,0.0055,0.7266,0.9134,0.0049
Meta-Llama-3.1-8B-Instruct-hf,0.9848,0.6983,0.3036,0.0090,0.7272,0.8284,0.0004
Meta-Llama-3.1-70B-hf,0.9643,0.8146,0.2271,0.6112,0.7505,0.8294,0.3749
Meta-Llama-3.1-70B-Instruct-hf,0.9925595238095238,0.6541383082158483,0.5969055555555556,0.7946583420048561,0.8630366811561047,0.9190042681272051,0.6309489610265249
