model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.00,0.00,0.0247,0.0008,0.1122,0.0534,0.0
Llama-2-7b-chat-hf,0.0003,0.0,0.0381,0.0001,0.1703,0.0236,0.0001
Llama-2-13b-hf,0.9324,0.2897,0.2097,0.0015,0.4640,0.8250,0.0
Llama-2-13b-chat-hf,0.9488,0.7557,0.2858,0.0052,0.5743,0.7833,0.0009
Meta-Llama-3.1-8B-hf,0.9658,0.8790,0.2139,0.0,0.6196,0.8829,0.0008
Meta-Llama-3.1-8B-Instruct-hf,0.9888,0.8273,0.3156,0.0201,0.7447,0.7879,0.0
Meta-Llama-3.1-70B-hf,0.9753,0.7599,0.1824,0.6000,0.6689,0.7966,0.2623
Meta-Llama-3.1-70B-Instruct-hf,0.989732142857143,0.9608295919242757,0.47171111111111114,0.7604347323389987,0.8144589338824069,0.8869316359509536,0.5049315330843628
