model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.00,0.00,0.0338,0.0,0.1404,0.2455,0.0
Llama-2-7b-chat-hf,0.0,0.0016,0.0340,0.0,0.1754,0.1093,0.0
Llama-2-13b-hf,0.9551,0.6739,0.1401,0.0018,0.5313,0.8648,0.0004
Llama-2-13b-chat-hf,0.9780,0.7367,0.3021,0.0145,0.6755,0.9225,0.0027
Meta-Llama-3.1-8B-hf,0.9411,0.8677,0.1988,0.0108,0.5937,0.9140,0.0045
Meta-Llama-3.1-8B-Instruct-hf,0.9948,0.8983,0.3851,0.0061,0.7363,0.8706,0.0002
Meta-Llama-3.1-70B-hf,0.9713,0.8407,0.2249,0.6385,0.7124,0.8871,0.3202
Meta-Llama-3.1-70B-Instruct-hf,0.9922619047619048,0.9896336755411936,0.5531388888888888,0.7704936986934906,0.8628333206233,0.9431327560259541,0.5696000510708927
