model,animal_class,cities,companies,element_symb,facts,inventors,sp_en_trans
Llama-2-7b-hf,0.50,0.49,0.4836,0.5108,0.4805,0.5179,0.0
Llama-2-7b-chat-hf,0.5,0.4505,0.5309,0.5,0.4724,0.5088,0.0
Llama-2-13b-hf,0.9055,0.5039,0.2037,0.0059,0.5590,0.8454,0.0013
Llama-2-13b-chat-hf,0.9558,0.7340,0.3103,0.0105,0.5654,0.8511,0.0024
Meta-Llama-3.1-8B-hf,0.9659,0.8957,0.2970,0.0069,0.7265,0.9049,0.0027
Meta-Llama-3.1-8B-Instruct-hf,0.9813,0.9512,0.3623,0.0075,0.7560,0.8674,0.0004
Meta-Llama-3.1-70B-hf,0.9665,0.8608,0.2739,0.5258,0.7440,0.8212,0.3632
Meta-Llama-3.1-70B-Instruct-hf,0.9916666666666667,0.9918070290829021,0.6691277777777779,0.8172043010752688,0.8718320241999034,0.903189993338761,0.6168087075872195
